,@mattertype,@welcome
0,Eviction,I have been evicted 
4,Eviction,Landlord gave me 24 hours to move
5,Eviction,Eviction
6,Eviction,can i be evicted in the winter?
12,Eviction,five days' notice
14,Eviction,Evection
16,Eviction,Eviction notice
17,Eviction,eviction
24,Eviction,Eviction
27,Eviction,Eviction
28,Eviction,Eviction
34,Eviction,My land lord is trying to evict me today and I have not had a court day
38,Eviction,Eviction
39,Eviction,Eviction 
42,Eviction,My son got an eviction note 
44,Eviction,eviction
49,Eviction,eviction
51,Eviction,tenant does not leave at the end of lease
54,Eviction,Evection 
57,Eviction,My landlord is filing an eviction. What should I do 
58,Eviction,Received eviction notice
62,Eviction,illegal eviction
63,Eviction,How to pay court fees for eviction
64,Eviction,I’m facing eviction
68,Eviction,Does my landlord need to provide me with a notice of non-renewal in writing? 
70,Eviction,Landlord removed my stuff with out my notice
71,Eviction,jury demand
80,Eviction,Esp 
81,Eviction,Eviction Court
84,Eviction,eviction
90,Eviction,Hi
92,Eviction,What happens if my lease after one year expired and my landlord did not renew it because he claimed to be my friend however after three months of paying rent he decides he wants to sell the place and if it to me how long do I have to be evicted
95,Eviction,I need help 
97,Eviction,landlord harrasment
99,Eviction,eviction
102,Eviction,eviction 
114,Eviction,Legal aid
117,Eviction,I need help
118,Eviction,tenents rights
121,Eviction,How to give a proper two day notice 
123,Eviction,I'm facing eviction 
124,Eviction,Eviction Notice
127,Eviction,Facing an eviction
129,Eviction,My mom is being evicted due to non-payment of rent
130,Eviction,Neededing assistant with eviction
133,Eviction,apartment
139,Eviction,Help evicted 
144,Eviction,hi
150,Eviction,eviction
156,Eviction,eviction after COVID
157,Eviction,eviction
160,Eviction,"Need Help with finding Any available Rental assistance for Chicago, IL, Cook County,  Eviction Case in Process with Court Date"
163,Eviction,eviction 
168,Eviction,Unlawful Eviction 
170,Eviction,I am getting evicted and I have court tomorrow. I need free legal advice. 
171,Eviction,Facing eviction 
172,Eviction,I'm being evicted 
174,Eviction,Eviction 
175,Eviction,I was evicted from my apartment without any notice
177,Eviction,5-day notice
188,Eviction,Eviction 
190,Eviction,Eviction 
195,Eviction,Chicago Fair Notice Ordinance letter
198,Eviction,My landlord is trying to scam me and evict me
204,Eviction,I was told I have 72 to hours to move out
205,Eviction,Eviction Attorney
206,Eviction,eviction 
209,Eviction,Vacate Default judgment and eviction
211,Eviction,I am a landlord in Chicago.  I have a person living in my apartment with no lease.  She has not paid rent in 4 months.  How do I go abour evicting her?
212,Eviction,my name is not on the lease what are my rights
213,Eviction,Francis Gory
214,Eviction,document to request dismissal of eviction
221,Eviction,I’m almost on verge of getting evicted 
225,Eviction,Eviction
229,Eviction,About to get evicted 
237,Eviction,landlord threatening to evict because i have someone staying with me
243,Eviction,Eviction notice
244,Eviction,Eviction 
246,Eviction,I live Chicago and am  facing relalitory eviction
247,Eviction,I am having a housing problem. I am being Retaliatated against
256,Eviction,eviction
257,Eviction,Eviction 
259,Eviction,I'm getting evicted and I haven't found a apartment yet
264,Eviction,Evivtion
267,Eviction,I live in Prospect Heights
271,Eviction,"I have lived in my rental home for over 2 years. When I moved it, I provided my ID. I received an email asking for another copy of my ID. Why does my landlord need a copy of my ID now?"
272,Eviction,Landlord trying to put me out
281,Eviction,eviction
285,Eviction,5 day notice
288,Eviction,5 day notice
290,Eviction,Eviction 
291,Eviction,Eviction
293,Eviction,I received an eviction notice the improper way
303,Eviction,I’m being evicted and I need to sue my landlord for uninhabited living and emotional distress.
304,Eviction,Eviction
305,Eviction,eviction
306,Eviction,ten day eviction notice
307,Eviction,Eviction Housing Discrimination Landlord Retaliation
308,Eviction,I'm being evicted
311,Eviction,Eviction 
312,Eviction,Eviction 
316,Eviction,illegal eviction
317,Eviction,Eviction notice and landlord harassment.
318,Eviction,Need Advice & Direction with Eviction case.
319,Eviction,eviction
324,Eviction, I am facing eviction and looking for assistance
327,Eviction,eviction
329,Eviction,Eviction 
330,Eviction,Eviction 
331,Eviction,Help with an eviction 
333,Eviction,Getting help with an eviction 
335,Eviction,EVICTION
336,Eviction,EVECTION
337,Eviction,eviction
338,Eviction,Free lawyer services
339,Eviction,5 day notice
340,Eviction,Legal support for tenants facing eviction
345,Eviction,I wanted to know do I suppose to have eviction on my record cause of lease violation 
346,Eviction,Landlord wants to kick me and my family out after we told him what needs to be fixed in the apartment 
349,Eviction,I am moving and I have to give 30 day notice to vacate h 
350,Eviction,Eviction
352,Eviction,Stop an eviction
354,Eviction,5 day notic
355,Eviction,Eviction
358,Eviction,Eviction notice 
360,Eviction,Eviction 
361,Eviction,Illegal eviction
363,Eviction,Eviction
364,Eviction,I received a 5 day notice to terminate my lease
371,Eviction,I need a lawyer
373,Eviction,Eviction help
374,Eviction,Eviction help
375,Eviction,Eviction
379,Eviction,rent
380,Eviction,Retaliatory eviction 
382,Eviction,Eviction 
385,Eviction,going to have eviction filed
394,Eviction,eviction
399,Eviction,5 day notice
401,Eviction,Eviction 
404,Eviction,eviction
407,Eviction,Eviction 
409,Eviction,Eviction
421,Eviction,hello
431,Eviction,Im being evicted and wouls like representation
432,Eviction,Can I be evicted without notice
433,Eviction,Evictions 
434,Eviction,Eviction prevention 
436,Eviction,Eviction 
437,Eviction,Eviction 
439,Eviction,Eviction 
444,Eviction,My dad's on oxygen can we be evicted 
450,Eviction,eviction
455,Eviction,eviction
456,Eviction,eviction
468,Eviction,an eviction order was entered
469,Eviction,I was served an eviction notice but no court information
476,Eviction,"My landlord is taking me to court for eviction,  but he altered my lease and turned my lights off"
477,Eviction,Can my landlord refuse to renew my lease even if my rent is paid?
486,Eviction,my landlord is saying the I am under eviction but has not filed any paper work with the courts. What can I do?
493,Eviction,Eviction
498,Eviction,i got an eviction notice
499,Eviction,How to evade eviction
510,Eviction,foreclosure
512,Eviction,notice to vacate apartment
514,Eviction,Prevent evictions 
516,Eviction,I'm getting evicted and want to know if I pay the det will it still be on my record 
521,Eviction,eviction
522,Eviction,I am being evicted
524,Eviction,"Received a notice stating that home was owned by someone other than my landlord. Letter stated occupants had 90 days to vacate, no contact informa n was left to speak to anyone"
528,Eviction,retaliatory eviction
539,Eviction,How do you appeal
541,Eviction,Eviction
543,Eviction,eviction
547,Eviction,Eviction order
548,Eviction,Five day notice from landlord trying to force money out of me
549,Eviction,legal help
551,Eviction,five day notice for know reason
554,Eviction,Illegal Eviction 
555,Eviction,Eviction 
557,Eviction,my lanlord is trying to get me out
561,Eviction,I have a slumlord trying to evict me
563,Eviction,Eviction
566,Eviction,My name is Milvia and I’m a tenant being evicted unjustly 
567,Eviction,30 days notice
568,Eviction,i didn't give 30 days notice
571,Eviction,How can I apply for an attorney to represent me in court 
573,Eviction,Helping a tenant in case of eviction 
574,Eviction,Eviction 
578,Eviction,eviction letter
579,Eviction,I have questions about eviction pending
580,Eviction,Courtesy copy
583,Eviction,Eviction
587,Eviction,facing eviction
589,Eviction,Eviction 
590,Eviction,Eviction
598,Eviction,Pending eviction
599,Eviction,I received a 5 day notice 
600,Eviction,30 day notice to vacate premises
601,Eviction,30 day notice to section 9-104.2
603,Eviction,illegal eviction
613,Eviction,landlord did not provide lease
614,Eviction,Landlord failed to provide lease to renew
615,Eviction,landlord threatening to evict
618,Eviction,How long do I have after I get a five day notice 
620,Eviction,Eviction 
625,Eviction,I received a 5 day eviction notice but need more time. Is that possible?
629,Eviction,la dueña dice que vaa a quitar la luz por que lla me llego el habiso de la corte que me tengo que ir
633,Eviction,landlord notice
635,Eviction,prevent eviction
636,Eviction,Stop or seal eviction 
637,Eviction,eviction
638,Eviction,court eviction
639,Eviction,5 day notice
646,Eviction,Hi Renny. I need help with eviction. 
649,Eviction,disabled and being evicted
650,Eviction,Eviction
652,Eviction,Eviction
658,Eviction,eviction
659,Eviction,eviction
667,Eviction,Eviction notice 
668,Eviction,Eviction 
669,Eviction,Eviction assistance suburbs in illinois
675,Eviction,eviction  
676,Eviction,I am looking for housing but I have an eviction 
683,Eviction,i received letter to move out nov 4th 2022 because landlord is selling the house soon
690,Eviction,eviction
695,Eviction,eviction
698,Eviction,Eviction
699,Eviction,Eviction
701,Eviction,Eviction 
702,Eviction,Eviction 
703,Eviction,Finding a apartment or house for me and my kids. 
704,Eviction,Eviction
709,Eviction,eviction court
710,Eviction,Help
714,Eviction,Eviction 
715,Eviction,I'm a referral from court and are looking for early resolution program 
725,Eviction,eviction
726,Eviction,60165
732,Eviction,eviction
735,Eviction,Eviction
738,Eviction,Eviction 
739,Eviction,Eviction 
740,Eviction,illegal eviction
744,Eviction,At risk of missing court date for eviction.
745,Eviction,I’m being evicted with 3 small children 
758,Eviction,Can a landlord file an eviction without sending a notice?
763,Eviction,I'm getting evicted because I had a fall on owners property that resulted in serious injury. 
764,Eviction,"Hi, after the five days of the five day notice are up but we still do not have the money, how do we avoid and addiction on our record if the landlord had enough Ernie who is filing the papers today?"
765,Eviction,Rental assistance 
766,Eviction,The five days are up after our five day notice. We are sure that the landlord is moving to affect us. But we’ve lost all of our income how much time do we have before being evicted?
767,Eviction,60629
768,Eviction,Eviction trial
771,Eviction,10 day notice
772,Eviction,Remove eviction 
773,Eviction,If repairs are not done can tenant leave without notice
775,Eviction,Eviction
782,Eviction,eviction
784,Eviction,Eviction 
791,Eviction,I’m in need of rental assistance my landlord is starting eviction process 
801,Eviction,Landlord entry
802,Eviction,Landlord harassment
806,Eviction,Eviction 
807,Eviction,Eviction summons
808,Eviction,Eviction 
811,Eviction,Eviction 
813,Eviction,free lawyer facing eviction
816,Eviction,i was told by my landlord o would receive a 5day notice 
818,Eviction,eviction
828,Eviction,Eviction 
831,Eviction,how do i know if there is an eviction case against me
833,Eviction,Can I ask for a continuation in eviction court? 
835,Eviction,Eviction 
846,Eviction,got five day notice to vacate premises
849,Eviction,5 day notice 
852,Eviction,"I was evicted wrongfully or illegally from my apartment with a section 8 voucher for unpaid rent, but I have 8 years of receipt. I don’t know if was evicted because of my disabilty or I reported there was mouse hole in my closet. Later on I received a summons. "
854,Eviction,Eviction
857,Eviction,eviction
858,Eviction,Five day notice
861,Eviction,How do I Check my background for evictions 
862,Eviction,summons
863,Eviction,"Hello, My name is Saundra Harris, I lost my job during the pandemic and currently "
873,Eviction,What if I do not have lease 
874,Eviction,What responsibilities do landlords have to tenants after a sewage back up?
877,Eviction,Help with removing an eviction 
885,Eviction,Tenants 
886,Eviction,I received a five day notice from my landlord when I only owe $166 out of 500. I tried calling my landlord but they are not answering.
890,Eviction,How do I get a false eviction of my record
896,Eviction,How you are can help for eviction?
898,Eviction,I am looking to resolve my eviction from mercy housing through CHA on the south side of chicago  
905,Eviction,eviction
906,Eviction,eviction
907,Eviction,facing eviction
908,Eviction,I'm getting evicted
911,Eviction,Eviction 
912,Eviction,Disability eviction 
918,Eviction,eviction
928,Eviction,Eviction
931,Eviction,I received a five day notice from my landlord 
932,Eviction,Received a five day vacant notice from my landlord 
933,Eviction,Facing unfair eviction
934,Eviction,Eviction
938,Eviction,forced eviction
939,Eviction,can my landlord make me move out with less than 30 days notice
946,Eviction,Hi
947,Eviction,I got a 5 day notice 4 days ago
958,Eviction,Lease extension 
964,Eviction,eviction
971,Eviction,"Hi, if I didn't go to court for an eviction, how long do I have to remove my property from the apartment?"
972,Eviction,hi I have a question for u my landlord is selling my place how many days in advance do they have to warn me for visits
973,Eviction,Eviction notice
974,Eviction,Rights of a tenant
978,Eviction,My landlord is selling the building and so he gave me a 30-day notice he's trying to put us out in order for him to sell the building
980,Eviction,eviction
988,Eviction,old eviction
990,Eviction,Judgement 
993,Eviction,Need help with rental assistance. I have a eviction notice
994,Eviction,I am getting kicked out of my apartment
995,Eviction,Eviction
996,Eviction,eviction lawyer
1006,Eviction,Illinois 
1009,Eviction,Being evicted
1015,Eviction,Eviction warning 
1016,Eviction,"I need the help of a free attorney for eviction court case on 09/15 2022 by 2.00pm at The circuit court of cook county , Illinois municipal department, sixth district."
1021,Eviction,eviction 
1023,Eviction,Eviction 
1029,Eviction,Possible eviction 
1032,Eviction,Eviction court order 
1034,Eviction,Need a Attonery 
1036,Eviction,Vacate eviction order
1038,Eviction,I'm want to know what can I do a new owner and he keeps bothering me to move out
1039,Eviction,Harassment 
1040,Eviction,Landlord harassment and unfair eviction
1041,Eviction,How to get the application to sign up for Program
1044,Eviction,Eviction 
1048,Eviction,Eviction
1050,Eviction,eviction from section 8 housing
1053,Eviction,Eviction
1054,Eviction,Eviction
1056,Eviction,Previous eviction 
1057,Eviction,eviction 
1060,Eviction,Eviction 
1063,Eviction,Need legar help with my eviction 
1069,Eviction,Legal Aid
1073,Eviction,Illegal apartment 
1075,Eviction,Eviction 
1078,Eviction,Eviction
1080,Eviction,Can the owner of the property I have my mobile home on shut my water off
1083,Eviction,I am facing eviction from cha
1085,Eviction,lawyer
1089,Eviction,Eviction
1095,Eviction,im being evited for nonpyment
1098,Eviction,Eviction
1100,Eviction,Eviction issue
1103,Eviction,I am facing an eviction and need help stopping it. What can I do 
1106,Eviction,Exposure to mild and the landlord doesn’t want to do anything 
1110,Eviction,Reviewed eviction notice
1111,Eviction,Eviction
1115,Eviction,eviction 
1122,Eviction,eviction
1123,Eviction,How to file a motion for more time to move after judge grants landlord order of possesion
1124,Eviction,Landlord suing me
1129,Eviction,Eviiction
1130,Eviction,Housing 
1136,Eviction,eviction
1138,Eviction,Rental assistance for eviction 
1140,Eviction,Illegal eviction
1144,Eviction,Eviction 
1145,Eviction,Non-renewal 
1146,Eviction,i need legal assistance for a pending eviction
1149,Eviction,Im in danger of eviction
1153,Eviction,I was issue a letter saying that the sheriff is going to evict me but the judge dismissed the case
1155,Eviction,Eviction legal help
1156,Eviction,what annual income constitutes middle income
1158,Eviction,Eviction
1159,Eviction,N3ed help with eviction case next fri
1161,Eviction,Need emergency help with rent got a 10 day notice
1162,Eviction,My landlord gave me 5days to leave on a permanent housing program lease i don’t know what’s going on I really need help 
1173,Eviction,Eviction 
1174,Eviction,evictino
1175,Eviction,Eviction notice
1176,Eviction,stop eviction
1178,Eviction,Eviction
1179,Eviction,Eviction
1180,Eviction,i was evicted but i was not able to claim my property
1183,Eviction,"Hi, I am getting evicted "
1187,Eviction,eviction notice
1190,Eviction,Eviction
1198,Eviction,how to stop eviction process
1201,Eviction,eviction status
1207,Eviction,landlord is evicting me.. 
1212,Eviction,Eviction
1215,Eviction,Eviction
1220,Eviction,eviction
1224,Eviction,2 day eviction notice
1226,Eviction,Eviction help
1227,Eviction,Eviction
1233,Eviction,Hello
1235,Eviction,Eviction 
1236,Eviction,Can a landlord lock me out if I don’t have a lease
1239,Eviction,Eviction 
1243,Eviction,evictions
1245,Eviction,I’ve been evicted 
1250,Eviction,Eviction 
1251,Eviction,Eviction 
1252,Eviction,Eviction defense attorney 
1253,Eviction,Eviction summons
1255,Eviction,eviction
1257,Eviction,I am at risk of being evicted 
1258,Eviction,At will renters rights
1259,Eviction,Eviction
1260,Eviction,eviction notice
1266,Eviction,Received an eviction notice for having a pet.
1280,Eviction,english
1281,Eviction,help with eviction
