,@mattertype,@welcome
31,No Match,"I don't have any papers indicating I was renting but I was renting my sisters attic for the past 30 years but now she wants me to move out ASAP how can I buy more time, i dont have any lease or anything"
61,No Match,"Hello, is this a service to help consult landlords in situations?"
72,No Match,"My rental application was denied because of my ESA. The agent said the building is owner occupied and they have severe allergies to dogs. However, my dog is hypoallergenic and I would be in a separate unit where any contact if any would be minimal. What are my rights?"
94,No Match,Help
96,No Match,violated local law
101,No Match,getting money back from landlord
126,No Match,This is for foreclosure 
143,No Match,My landlord/roommate says I have to leave at the end of the month because my
145,No Match,find apartment
167,No Match,Agent 
176,No Match,Move in sublease
193,No Match,I was emailed an answer but the links didn't work
197,No Match,"To whom it may concern,       Over the last few weeks I have been in contact with WGEM, the Safe and Livable Housing Committee, contacted the Quincy Herald Whig and went to the city council meeting on August 15th over concerns of corruption in the city with a local land lord. I went before city council to address concerns about the City of Quincy giving landlords heads up messages when tenants file they're complaints. Immediately after I filed my complaint with the City they sent him a message to meet up with him before meeting up with me. He then forwarded that message to me seemingly mocking me for filing suggesting the city is on his side even if someone files a complaint. After I went to city counsel an investigation was started but this particular landlord has a brother who's a lawyer with one of the largest law firms in Quincy. He continues to get away with taking advantage of good people because our city also makes money off his property taxes. I was fortunate enough to get my money back but still have an unpaid water bill. I went before City with a 14 pg. packet I handed to all the alderman, the mayor, and all the news outlets that was present that evening. At the end of the meeting Mike Farha motioned for an investigation. Our city doesn't want this getting out because it shows how negligent our local government treats working class people and favors landlords in landlord tenant issues. It seems completely unethical to give landlords a heads up and then seemingly harass and slander it's citizens when they do file calling them names like a ""Whiner"". If you follow the timeline in the attached files and screenshots of messages and transactions, I was told I would be contacted by the city before the landlord. That didn't happen and the city of Quincy's planning and development messaged him first that Tuesday morning at 11:54 in the morning directly after I filed my complaint. I have filed Complaints with the following agencies. The National Safety Council, The Office of The Attorney General, The State of Illinois Ethics Commission, The Federal Transit Administration Civil Rights Division, The Better Business Bureau and The U.S. Department of Justice, and The Department of Housing and Urban Development. Part of the problem bis the City of Quincy is helping him, I filed my complaint against Chris Bickhaus and his property owned by International Properties inc. When the City filed it's Notice of violations on his property they filed it for Phoenix International Properties Inc??? When I went before City council the meeting wasn't aired that night??    Sincerely, Aaron Coffman "
200,No Match,First judgement for a case
207,No Match,Breaking my lease
228,No Match,I need help getting move-in funds back from a real estate management company called Pangea.
234,No Match,I need an attorney 
235,No Match,Trying to report a erap check stolen
250,No Match,Homeless 
263,No Match,Lease clause
276,No Match,i want to end my lease
309,No Match,"I’m having an issue with my landlords, they are scamming me with late fees, from years ago, I’ve paid several times to keep my place , this has to stop, my name is Ms Hannon & my phone number is 219-245-5886"
314,No Match,I have questions about porch use
332,No Match,My apartment complex is telling me that when I renew my lease I'm going to be charged for internet services that I don't want..even if I tell them I'm happy with my service and don't want to change I'm still going to be charged for it is this legal in illinois
348,No Match,Illegal camera installation and tenant harassment 
351,No Match,I was given 3 weeks to be out the house I was renting I wass told that they sold the house on the 24th of July and was asked to leave by August 15 so the new landlord can come get the keys I asked for an extension to give me a Lil more time to find a house I Even asked for the new landlord number to see if he would give me more time I was told no he want when the 15th came no new landlord I frequently ride pass the house cause my kids still go to school up the street still no new land I have caught him walking in and our still locking the doors and going in with a key he also put all the bills in his name after I left witch left me homeless living in a hotel for the last 2 months spending 400 or more on a room a week
359,No Match,Eviction 
366,No Match,My roommate walked out on the lease 
368,No Match,Disability 
448,No Match,No 
453,No Match,I’m a tent
467,No Match,I would like to talk to someone regarding my section 8 voucher that I lost from running out of time and landlord not wanting to rent out their properties because of the pandemic.
478,No Match,removal from apartment
479,No Match,Lawyer
492,No Match,Sealing my eviction
495,No Match,Ending a contract early 
497,No Match,Esp 
503,No Match,does Oak Park still have a section 8 program 
511,No Match,Need a lawyer about foreclosure
527,No Match,"my landlord refused to release a tenant and I'm thinking of trying to unionzie the building, what do I do?"
538,No Match,Lease question 
565,No Match,landlord charging maintenance after moving out
592,No Match,Unresponsive landlord
593,No Match,Unresponsive landlord
602,No Match,It complicated
606,No Match,roommate
607,No Match,Harassment 
616,No Match,"Hello, today my building manager informed me that he'd received some complaints from other residents about a guest of mine. He said that, while he can't tell me who I can or can't associate with,  under the terms of the lease, residents are responsible for their guests. My friend is a vet who has struggled with addiction, and the building has a zero tolerance policy. As such, I was notified that I could risk eviction. I spoke with my friend about it, and while upset, he understood the situation and left. I'm hoping that settles the issue, but I'm worried that the building manager may follow-up today."
623,No Match,Sublease
653,No Match,Old landlord still charging me
664,No Match,Tenant harassing a neighbor
674,No Match,I’m homeless 
685,No Match,Landlord harrasment 
705,No Match,Termination of lease notice
716,No Match,Can I chat with a live person?
729,No Match,Ownership 
742,No Match,lease question
752,No Match,What does erp do
755,No Match,how much notice do I have to give my landlord before i move out
776,No Match,fair notice ordinance
778,No Match,My section 8 voucher has been reviewed because my son whom was on the voucher at the time applied for a SBA loan 
785,No Match,English please
803,No Match,Illegal entry
814,No Match,I am dealing with black mold and some type of mite infestation in my home for almost 2 years now and I don't know what to do I've steam cleaned my carpets I'm getting deathly sick and so is my roommate I'm under the housing affiliation for the West morning Connie area Pennsylvania PA
819,No Match,Transferring voucher or porting out
821,No Match,The landlord refused to give a key to the mailbox and asked the tenant to rent a mailbox at the post office. The lease does not have a term for the mailbox. 
837,No Match,leasing descrimination
860,No Match,Ending a lease
883,No Match,Noisy neighbors 
895,No Match,Abstentee Lawyer
924,No Match,Loss of hcv
943,No Match,legal representation
959,No Match,My landlord entered my apartment without proper notice
962,No Match,Lease issue
981,No Match,homelessness
983,No Match,"Home has lead. I want to move, but landlord says I cannot break my lease"
989,No Match,move out expenses in collections
998,No Match,Help getter an apartment 
1004,No Match,move-out notice
1049,No Match,Landlord changed locks and is withholding property on a comercial 
