,@mattertype,@welcome
10,Rental Assistance,rent assistance
13,Rental Assistance,rental assistance
20,Rental Assistance,Need rental assistance 
23,Rental Assistance,Rent assistance
26,Rental Assistance,rent help
29,Rental Assistance,Help
30,Rental Assistance,Rent 
32,Rental Assistance,Assistance with finding a place to live
53,Rental Assistance,emergency rental assistance
55,Rental Assistance,Help with rent 
75,Rental Assistance,rental assistance
76,Rental Assistance,Rent assistance 
79,Rental Assistance,Rental assistance 
91,Rental Assistance,rental assistance
98,Rental Assistance,Need help with keeping  my place
100,Rental Assistance,Rental assistance programs for people who make over $60k
107,Rental Assistance,lawyer assistance 
109,Rental Assistance,Rental assistance 
120,Rental Assistance,rent assistance
125,Rental Assistance,Interest on last month rent ontario
132,Rental Assistance,hello i need rent ASSISTANCE
140,Rental Assistance,rent assistance
141,Rental Assistance,Rental assistance
142,Rental Assistance,Rent
148,Rental Assistance,Rent assistance 
155,Rental Assistance,Rental 
158,Rental Assistance,Rental help
166,Rental Assistance,rental help
179,Rental Assistance,Rental assistance 
181,Rental Assistance,"I was approved for an apartment and intended to add another tenant to the lease,- the landlord googled the other person and saw a felony and emailed me she did not feel comfortable renting to us due to this"
189,Rental Assistance,Rent assistance 
202,Rental Assistance,I need help to pay my rent 
208,Rental Assistance,Rental assistance 
217,Rental Assistance,Rental assistance 
220,Rental Assistance,rent assistance
222,Rental Assistance,In need of financial help with rent gas lights medical needs. On s
223,Rental Assistance,Deliquit
230,Rental Assistance,rent payment help
238,Rental Assistance,Application 
248,Rental Assistance,Rent raised 
251,Rental Assistance,Rental assistance 
258,Rental Assistance,Rental Assistance 
261,Rental Assistance,Assistance 
262,Rental Assistance,owed rent from previous residence
265,Rental Assistance,Hello. I need help with rent payment 
273,Rental Assistance,Rental assistance 
274,Rental Assistance,Rental assistant 
277,Rental Assistance,Rental assistance 
280,Rental Assistance,Rent assistance 
282,Rental Assistance,Rental assistance 
286,Rental Assistance,rental assistance
287,Rental Assistance,rental assistance
289,Rental Assistance,My landlord is trying to evict me because I wouldn’t pay rent all because of a mice infestation that we had in our apartment.. 
295,Rental Assistance,House
296,Rental Assistance,need help paying rent
